Timestamp,Sensor_1,Sensor_2
20:53:07,ets Jul 29 2019 12:21:46
20:53:07,rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
20:53:07,configsip: 0, SPIWP:0xee
20:53:07,clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
20:53:07,mode:DIO, clock div:1
20:53:07,load:0x3fff0030,len:4876
20:53:07,ho 0 tail 12 room 4
20:53:07,load:0x40078000,len:16560
20:53:07,load:0x40080400,len:3500
20:53:07,entry 0x400805b4
20:53:33,0.62, 297.36
20:53:33,0.60, 297.32
20:53:33,0.36, 297.36
20:53:33,0.61, 297.30
20:53:33,0.60, 297.36
20:53:33,0.58, 297.38
20:53:33,0.50, 297.38
20:53:33,0.30, 297.42
20:53:33,0.28, 297.42
20:53:34,0.29, 297.50
20:53:34,0.31, 297.42
20:53:34,0.30, 297.42
20:53:34,0.30, 297.42
20:53:34,0.30, 297.42
20:53:34,0.28, 297.50
20:53:34,0.30, 297.42
20:53:34,0.31, 297.26
20:53:34,0.30, 297.36
20:53:34,0.30, 297.26
20:53:35,0.65, 297.26
20:53:35,0.30, 297.26
20:53:35,0.30, 297.18
20:53:35,0.30, 297.24
20:53:35,0.30, 297.38
20:53:35,0.30, 297.30
20:53:35,0.58, 297.26
20:53:35,0.57, 297.26
20:53:35,0.58, 297.26
20:53:36,0.58, 297.26
20:53:36,0.59, 297.30
20:53:36,0.59, 297.32
20:53:36,0.61, 297.30
20:53:36,0.58, 297.30
20:53:36,0.57, 297.32
20:53:36,3.13, -1
20:53:36,3.13, -1
20:53:36,0.30, 297.24
20:53:37,0.68, 297.18
20:53:37,0.31, 297.24
20:53:37,0.57, 297.20
20:53:37,0.57, 297.30
20:53:37,0.58, 297.30
20:53:37,0.58, 297.32
20:53:37,0.57, 297.32
20:53:37,0.57, 297.30
20:53:37,0.44, 297.32
20:53:37,0.59, 297.30
20:53:38,0.40, 297.42
20:53:38,0.29, 297.48
20:53:38,0.57, 297.54
20:53:38,0.30, 297.42
20:53:38,0.29, 297.48
20:53:38,0.57, 297.38
20:53:38,0.28, 297.44
20:53:38,0.30, 297.32
20:53:38,0.28, 297.42
20:53:39,0.30, 297.42
20:53:39,0.30, 297.38
20:53:39,0.37, 297.50
20:53:39,0.30, 297.50
20:53:39,0.26, 297.44
20:53:39,0.23, 297.48
20:53:39,0.38, 297.42
20:53:39,0.21, 297.54
20:53:39,0.22, 297.60
20:53:39,0.26, 297.56
20:53:40,0.30, 297.62
20:53:40,0.24, 297.62
20:53:40,0.30, 297.72
